,date,link,company,field,place,round,amount,investor
0,2015.12.1,https://www.itjuzi.com/investevents/19981,Minivision小视科技,企业服务,江苏,A轮,数千万人民币,中泽嘉盟
1,2015.12.1,https://www.itjuzi.com/investevents/20042,零猫,电子商务,上海,天使轮,数百万人民币,天使湾
2,2015.11.30,https://www.itjuzi.com/investevents/18315,龙马游戏列土封疆,游戏,北京,天使轮,数百万人民币,人人公司
3,2015.11.30,https://www.itjuzi.com/investevents/19176,安普德,硬件,天津,A轮,168万人民币,达晨创投
4,2015.11.30,https://www.itjuzi.com/investevents/19559,91职程网,企业服务,江苏,天使轮,数百万人民币,火柴快鹿投资基金
5,2015.11.30,https://www.itjuzi.com/investevents/12783,谷露软件,企业服务,上海,Pre-A轮,未透露,"真格基金,云天使基金"
6,2015.11.30,https://www.itjuzi.com/investevents/13077,凹凸租车,汽车交通,上海,B轮,3亿人民币,"太平洋保险,常春藤资本Ivy Capital,赫斯特Hearst Ventures,经纬中国,联创策源"
7,2015.11.30,https://www.itjuzi.com/investevents/13086,内行,企业服务,上海,天使轮,数百万人民币,投资方未透露
8,2015.11.30,https://www.itjuzi.com/investevents/13087,上上签,企业服务,浙江,A轮,数千万人民币,"DCM中国,经纬中国"
9,2015.11.30,https://www.itjuzi.com/investevents/13088,神工007,房产服务,北京,A+轮,1000万美元,"顺为基金,晨兴资本"
10,2015.11.30,https://www.itjuzi.com/investevents/13091,太极疗,医疗健康,北京,天使轮,数百万人民币,微派创投基金
11,2015.11.30,https://www.itjuzi.com/investevents/13093,多洗,本地生活,北京,Pre-A轮,1000万人民币,盛景网联(盛景嘉成)
12,2015.11.30,https://www.itjuzi.com/investevents/13094,爱早教网,教育,上海,A轮,数千万人民币,投资方未透露
13,2015.11.30,https://www.itjuzi.com/investevents/13103,咖啡零点吧,硬件,北京,A轮,3000万人民币,投资方未透露
14,2015.11.30,https://www.itjuzi.com/investevents/13105,挂号网-微医集团,医疗健康,浙江,E轮,3亿美元,"国开金融(国开开元),复星医药,高瓴资本Hillhouse Capital,高盛集团(中国),腾讯,联新资本"
15,2015.11.30,https://www.itjuzi.com/investevents/13130,颗豆互动,游戏,北京,新三板,未透露,投资方未透露
16,2015.11.30,https://www.itjuzi.com/investevents/13159,嘻鱿记,电子商务,北京,天使轮,500万人民币,真格基金
17,2015.11.30,https://www.itjuzi.com/investevents/13231,好好住,房产服务,北京,A轮,数百万美元,投资方未透露
18,2015.11.30,https://www.itjuzi.com/investevents/13669,bigsec岂安科技,企业服务,上海,天使轮,数千万人民币,经纬中国
19,2015.11.30,https://www.itjuzi.com/investevents/14446,挖金客,广告营销,北京,新三板,4542万人民币,投资方未透露
20,2015.11.30,https://www.itjuzi.com/investevents/14773,易视互动大开眼界,文化娱乐,北京,天使轮,1000万人民币,投资方未透露
21,2015.11.30,https://www.itjuzi.com/investevents/15035,货大大,物流,陕西,天使轮,数百万人民币,零一创投
22,2015.11.30,https://www.itjuzi.com/investevents/15928,回家吃饭APP,本地生活,北京,B+轮,未透露,"金沙江创投,今日资本"
