,date,link,company,field,place,round,amount,investor
0,2011.6.1,https://www.itjuzi.com/investevents/1418,MIGO功典资讯,广告营销,台湾,天使轮,数十万美元,appWorks之初创投
1,2011.6.1,https://www.itjuzi.com/investevents/1424,TechOrange科技报橘,文化娱乐,台湾,天使轮,数十万美元,appWorks之初创投
2,2011.6.1,https://www.itjuzi.com/investevents/1565,上海标杆物流,电子商务,上海,天使轮,数百万人民币,创业接力(创业基金会)
3,2011.6.1,https://www.itjuzi.com/investevents/1577,博雅立方CubeAD,企业服务,北京,B轮,数千万人民币,投资方未透露
4,2011.6.1,https://www.itjuzi.com/investevents/1736,妈妈网,电子商务,广东,A轮,5000万人民币,腾讯
5,2011.6.1,https://www.itjuzi.com/investevents/1788,杭州网营科技,电子商务,浙江,A轮,2700万人民币,同创伟业
6,2011.6.1,https://www.itjuzi.com/investevents/1797,安智网,工具软件,北京,A轮,数千万人民币,盛大资本-盛大网络
7,2011.6.1,https://www.itjuzi.com/investevents/2406,上海天游软件T2CN,游戏,上海,A轮,数千万人民币,联创永宣
8,2011.6.1,https://www.itjuzi.com/investevents/2420,满座网,电子商务,北京,B轮,数千万美元,KPCB凯鹏华盈中国
9,2011.6.1,https://www.itjuzi.com/investevents/2622,品尚红酒网-品尚汇,电子商务,广东,A轮,2500万人民币,同创伟业
10,2011.6.1,https://www.itjuzi.com/investevents/2695,珂兰钻石网,电子商务,上海,B轮,数千万美元,腾讯
11,2011.6.1,https://www.itjuzi.com/investevents/3539,易积电器,电子商务,广东,B轮,2000万美元,"挚信资本,IDG资本"
12,2011.5.31,https://www.itjuzi.com/investevents/10098,圆融光电(圆融光电),硬件,安徽,A轮,数千万人民币,"北极光创投,鼎晖投资"
13,2011.5.26,https://www.itjuzi.com/investevents/18939,伊美尔Evercare,本地生活,北京,A轮,2亿人民币,"君联资本,天图资本"
14,2011.5.22,https://www.itjuzi.com/investevents/17173,灿星制作(灿星文化),文化娱乐,上海,A轮,数千万人民币,华人文化产业基金
15,2011.5.21,https://www.itjuzi.com/investevents/12337,象素旅行,旅游,北京,A轮,未透露,经纬中国
16,2011.5.16,https://www.itjuzi.com/investevents/8707,艺龙旅行,旅游,北京,IPO上市后,8400万美元,腾讯
17,2011.5.13,https://www.itjuzi.com/investevents/24,蘑菇街(美丽联合集团),电子商务,浙江,A轮,数百万美元,"挚信资本,贝塔斯曼亚洲投资基金"
18,2011.5.13,https://www.itjuzi.com/investevents/235,宝贝全计划,教育,上海,天使轮,数百万人民币,原子创投
19,2011.5.12,https://www.itjuzi.com/investevents/12864,泰凌微电子,硬件,上海,A轮,数千万人民币,投资方未透露
20,2011.5.12,https://www.itjuzi.com/investevents/13834,豆丁网(豆丁书房),文化娱乐,北京,A轮,500万美元,投资方未透露
21,2011.5.5,https://www.itjuzi.com/investevents/14403,华扬联众,广告营销,北京,A轮,7500万人民币,"腾讯,百度,新浪微博(新浪微创投),搜狐/畅游,人人公司"
22,2011.5.1,https://www.itjuzi.com/investevents/55,品友互动,广告营销,北京,A轮,1000万美元,富德创投
23,2011.5.1,https://www.itjuzi.com/investevents/2416,百草味,电子商务,浙江,A轮,1000万人民币,投资方未透露
