,date,link,company,field,place,round,amount,investor
27,2016.9.7,https://www.itjuzi.com/investevents/20166,博能股份,企业服务,北京,新三板,未透露,投资方未透露
28,2016.9.7,https://www.itjuzi.com/investevents/20164,iStaging,工具软件,台湾,Pre-A轮,500万美元,"华平投资WI Harper Group,TVC Capital"
29,2016.9.7,https://www.itjuzi.com/investevents/20161,路标网,企业服务,北京,战略投资,未透露,猪八戒网
30,2016.9.7,https://www.itjuzi.com/investevents/20156,三生源传媒,文化娱乐,广东,战略投资,未透露,乾盛乾资本
31,2016.9.7,https://www.itjuzi.com/investevents/20154,一起写,企业服务,北京,Pre-A轮,未透露,金山软件
32,2016.9.7,https://www.itjuzi.com/investevents/20153,mamahome旅家网络,房产服务,上海,A轮,亿元及以上人民币,新加坡城市发展集团
33,2016.9.7,https://www.itjuzi.com/investevents/20150,智宠家,硬件,广东,天使轮,数百万人民币,水木清华校友基金
34,2016.9.7,https://www.itjuzi.com/investevents/20149,新节奏,教育,广东,Pre-A轮,1100万人民币,深圳富涌谷基金
35,2016.9.7,https://www.itjuzi.com/investevents/20148,小水滴课堂,教育,广东,A轮,3000万人民币,投资方未透露
36,2016.9.7,https://www.itjuzi.com/investevents/20145,叮咚直聘,企业服务,浙江,天使轮,300万人民币,海丰至诚
37,2016.9.7,https://www.itjuzi.com/investevents/20144,威佩网络,游戏,浙江,Pre-A轮,2800万人民币,紫钥科技
38,2016.9.7,https://www.itjuzi.com/investevents/20143,掌上心电,医疗健康,江苏,A轮,数千万人民币,百家汇精准医疗控股集团有限公司
39,2016.9.7,https://www.itjuzi.com/investevents/20140,乙宏娱乐,文化娱乐,上海,天使轮,1000万人民币,万合天宜
40,2016.9.7,https://www.itjuzi.com/investevents/20139,REnextop,体育运动,上海,Pre-A轮,数千万人民币,投资方未透露
41,2016.9.7,https://www.itjuzi.com/investevents/20138,海绵保,金融,上海,A轮,数千万人民币,海尔投资
42,2016.9.7,https://www.itjuzi.com/investevents/20137,小小包麻麻,电子商务,北京,A轮,数千万人民币,龙腾资本
43,2016.9.7,https://www.itjuzi.com/investevents/20136,MarsTV耀宇文化传媒,游戏,上海,新三板,未透露,投资方未透露
44,2016.9.6,https://www.itjuzi.com/investevents/20130,JoinQuant,金融,北京,A轮,数千万人民币,启迪之星(启迪孵化器孵化投资基金)
45,2016.9.6,https://www.itjuzi.com/investevents/20129,众友健康,医疗健康,甘肃,战略投资,5亿人民币,天士力创投
46,2016.9.6,https://www.itjuzi.com/investevents/20128,iu爱邮,电子商务,辽宁,天使轮,160万人民币,投资方未透露
47,2016.9.6,https://www.itjuzi.com/investevents/20126,万协云商,电子商务,福建,B+轮,未透露,"微创中国,粤港投资"
48,2016.9.6,https://www.itjuzi.com/investevents/20122,一面数据,企业服务,广东,Pre-A轮,1400万人民币,"真格基金,联想之星"
49,2016.9.6,https://www.itjuzi.com/investevents/20117,上海洛克公园,体育运动,上海,B轮,4000万人民币,华人文化产业基金
50,2016.9.6,https://www.itjuzi.com/investevents/20115,人人租赁,汽车交通,上海,IPO上市,5.11亿人民币,投资方未透露
51,2016.9.6,https://www.itjuzi.com/investevents/20114,新道科技,教育,海南,B轮,1.89亿人民币,"中泰创投,天星资本,太证资本"
52,2016.9.6,https://www.itjuzi.com/investevents/20103,深圳麦谷科技MapGoo,汽车交通,广东,Pre-A轮,5000万人民币,同创伟业
53,2016.9.6,https://www.itjuzi.com/investevents/20099,景域文化,旅游,上海,IPO上市后,10亿人民币,南京丰盛产业控股集团
54,2016.9.5,https://www.itjuzi.com/investevents/20097,我的天科技,文化娱乐,北京,Pre-A轮,1200万人民币,投资方未透露
55,2016.9.5,https://www.itjuzi.com/investevents/20093,多米音乐,文化娱乐,北京,新三板,未透露,投资方未透露
56,2016.9.5,https://www.itjuzi.com/investevents/20092,车易拍,汽车交通,北京,E轮,3亿人民币,北汽产业投资基金
57,2016.9.5,https://www.itjuzi.com/investevents/20091,牧视天成,文化娱乐,北京,天使轮,600万人民币,乐游资本
58,2016.9.5,https://www.itjuzi.com/investevents/20087,糖医生,医疗健康,北京,Pre-A轮,数千万人民币,"上海嘉稹,上海腾辉"
59,2016.9.5,https://www.itjuzi.com/investevents/20086,新浪阅读,文化娱乐,北京,不明确,3.5亿人民币,中文在线
60,2016.9.5,https://www.itjuzi.com/investevents/20077,学无国界myOffer,教育,广东,A轮,数千万人民币,"沪江教育-互桂基金,信天创投"
61,2016.9.5,https://www.itjuzi.com/investevents/20076,人人车,汽车交通,北京,D轮,1.5亿美元,"汉富资本,新浚资本,普思资本,腾讯,顺为基金,红点投资Redpoint Ventures"
62,2016.9.5,https://www.itjuzi.com/investevents/20074,新片场,文化娱乐,北京,IPO上市后,7000万人民币,"天星资本,红杉资本中国"
63,2016.9.5,https://www.itjuzi.com/investevents/20063,玩加赛事WanPlus,游戏,北京,Pre-A轮,1000万人民币,丰厚资本
64,2016.9.4,https://www.itjuzi.com/investevents/20072,六度中医,医疗健康,江苏,天使轮,数千万人民币,"树兰医疗,奇异果"
65,2016.9.4,https://www.itjuzi.com/investevents/20062,天天不上班,文化娱乐,北京,天使轮,数百万人民币,真格基金
66,2016.9.4,https://www.itjuzi.com/investevents/20060,中商惠民网,电子商务,北京,B轮,13亿人民币,"聚腾时尚产业基金,西部优势资本(西部证券),中合担保,达晨创投,人众资本,同系资本"
67,2016.9.4,https://www.itjuzi.com/investevents/20044,黄金树,金融,北京,A轮,数百万人民币,南京紫金科创
68,2016.9.3,https://www.itjuzi.com/investevents/20083,汇医在线,医疗健康,北京,A轮,2000万人民币,浙银资本
69,2016.9.3,https://www.itjuzi.com/investevents/20019,订房宝,旅游,北京,A+轮,1000万人民币,"东方富海,浙商创投"
70,2016.9.2,https://www.itjuzi.com/investevents/20024,17互助,金融,浙江,Pre-A轮,3000万人民币,"执一资本Yi Capital,经纬中国,晨兴资本"
71,2016.9.2,https://www.itjuzi.com/investevents/20017,Yum Brands百胜中国,本地生活,上海,战略投资,4.6亿美元,"春华资本Primavera,蚂蚁金服(阿里巴巴)"
72,2016.9.2,https://www.itjuzi.com/investevents/20016,卧龙大数据,企业服务,四川,Pre-A轮,1000万人民币,高捷资本
73,2016.9.2,https://www.itjuzi.com/investevents/20015,ofo共享单车,汽车交通,北京,B轮,数千万美元,"经纬中国,金沙江创投,唯猎资本"
74,2016.9.2,https://www.itjuzi.com/investevents/20009,上海电影艺术学院,教育,上海,战略投资,未透露,IDG光大产业并购基金
75,2016.9.2,https://www.itjuzi.com/investevents/20008,世萱堂生物医药,医疗健康,北京,天使轮,1.5亿人民币,盛日融旺
76,2016.9.2,https://www.itjuzi.com/investevents/20006,布拉旅行,旅游,上海,A+轮,数千万人民币,泓御资本
77,2016.9.2,https://www.itjuzi.com/investevents/20005,金斧子,金融,广东,C轮,亿元及以上人民币,"华西股份(华西村),招商局,达泰资本,墨白资本,汉景家族办公室"
78,2016.9.2,https://www.itjuzi.com/investevents/19996,融和友信,金融,北京,A+轮,3000万人民币,尖晶资本
79,2016.9.2,https://www.itjuzi.com/investevents/19995,WeShare易跋科技,工具软件,上海,A轮,1000万美元,软银中国
80,2016.9.2,https://www.itjuzi.com/investevents/19994,星云数据服务平台,企业服务,江苏,天使轮,数千万人民币,投资方未透露
81,2016.9.1,https://www.itjuzi.com/investevents/20033,众端网络,文化娱乐,上海,天使轮,数百万人民币,高樟资本
82,2016.9.1,https://www.itjuzi.com/investevents/20032,速道科技快CTO,企业服务,上海,天使轮,880万人民币,强合基金
83,2016.9.1,https://www.itjuzi.com/investevents/19978,鱼大大,电子商务,江苏,战略投资,未透露,投资方未透露
84,2016.9.1,https://www.itjuzi.com/investevents/19976,能力天空科技,教育,北京,C轮,1亿人民币,天津福熙投资
85,2016.9.1,https://www.itjuzi.com/investevents/19975,ZETTAKIT领航盛辉,企业服务,北京,A+轮,5000万人民币,达晨创投
86,2016.9.1,https://www.itjuzi.com/investevents/19974,捉影,社交网络,广东,天使轮,211万人民币,投资方未透露
87,2016.9.1,https://www.itjuzi.com/investevents/19973,GOGAL够格,文化娱乐,广东,天使轮,500万人民币,迅雷
88,2016.9.1,https://www.itjuzi.com/investevents/19972,奇光影业,文化娱乐,北京,A+轮,数千万人民币,和智资本
89,2016.9.1,https://www.itjuzi.com/investevents/19971,WeMedia自媒体联盟,文化娱乐,北京,A+轮,4000万人民币,PGA Ventures
90,2016.9.1,https://www.itjuzi.com/investevents/19966,PingPong金融,金融,浙江,A轮,数百万美元,斯道资本(富达亚洲)
91,2016.9.1,https://www.itjuzi.com/investevents/19961,UBOSS优融网络,电子商务,广东,Pre-A轮,700万人民币,投资方未透露
92,2016.9.1,https://www.itjuzi.com/investevents/19956,二手go,本地生活,浙江,种子轮,1000万人民币,竹子资本
93,2016.9.1,https://www.itjuzi.com/investevents/19955,好老板,工具软件,北京,天使轮,数百万人民币,投资方未透露
94,2016.9.1,https://www.itjuzi.com/investevents/19953,趣链科技,企业服务,浙江,不明确,1750万人民币,"浙大网新,信雅达系统工程股份有限公司,浙江君宝通信科技有限公司"
95,2016.9.1,https://www.itjuzi.com/investevents/19950,美术宝,教育,北京,B+轮,5200万人民币,"若沐资本,创致资本"
96,2016.8.31,https://www.itjuzi.com/investevents/20234,智间配,硬件,上海,Pre-A轮,1000万人民币,星原资本
97,2016.8.31,https://www.itjuzi.com/investevents/20219,陕西广电网络,文化娱乐,陕西,IPO上市后,7.55亿人民币,投资方未透露
98,2016.8.31,https://www.itjuzi.com/investevents/20018,远形时空,硬件,北京,天使轮,数百万人民币,PreAngel
99,2016.8.31,https://www.itjuzi.com/investevents/19943,影人街,文化娱乐,辽宁,天使轮,300万人民币,鸣新坊风投
100,2016.8.31,https://www.itjuzi.com/investevents/19942,ROAD FC路德格斗,体育运动,北京,A轮,1亿人民币,投资方未透露
101,2016.8.31,https://www.itjuzi.com/investevents/19941,轻餐饮/芯易科技,企业服务,北京,天使轮,数百万人民币,知初资本
102,2016.8.31,https://www.itjuzi.com/investevents/19940,约跑,体育运动,北京,天使轮,数千万人民币,全经联创新基金
103,2016.8.31,https://www.itjuzi.com/investevents/19938,倍优天地,教育,北京,Pre-A轮,数千万人民币,北京生活性服务业发展基金
