,date,link,company,field,place,round,amount,investor
0,2015.2.1,https://www.itjuzi.com/investevents/18757,TradeHero全民股神,金融,上海,A轮,数百万美元,KPCB凯鹏华盈中国
1,2015.2.1,https://www.itjuzi.com/investevents/19000,大闽国际,本地生活,福建,不明确,未透露,Integral雄厚资本
2,2015.2.1,https://www.itjuzi.com/investevents/19824,纳德光学,硬件,广东,天使轮,数千万人民币,合江创投
3,2015.2.1,https://www.itjuzi.com/investevents/19848,漏洞银行,企业服务,上海,A轮,1000万美元,软银中国
4,2015.2.1,https://www.itjuzi.com/investevents/19863,EasyScience易科学,电子商务,北京,天使轮,数百万人民币,清控科创控股
5,2015.2.1,https://www.itjuzi.com/investevents/20020,鹍远基因,医疗健康,上海,天使轮,5000万人民币,投资方未透露
6,2015.2.1,https://www.itjuzi.com/investevents/20169,极车公社,汽车交通,北京,战略投资,数千万人民币,海尔投资
7,2015.2.1,https://www.itjuzi.com/investevents/10507,趣看直播-趣看科技,文化娱乐,浙江,天使轮,数百万人民币,传媒梦工场
8,2015.1.31,https://www.itjuzi.com/investevents/7196,贴心医生,医疗健康,北京,天使轮,1000万人民币,投资方未透露
9,2015.1.31,https://www.itjuzi.com/investevents/7251,e陪诊,医疗健康,北京,天使轮,1000万人民币,洪泰基金
10,2015.1.31,https://www.itjuzi.com/investevents/8434,极路客Goluk,汽车交通,北京,A轮,数千万人民币,"创新工场,鸿海集团Foxconn"
11,2015.1.31,https://www.itjuzi.com/investevents/8481,疯狂老师,教育,上海,Pre-A轮,数千万人民币,"微光创投(吴宵光),黑马基金"
12,2015.1.31,https://www.itjuzi.com/investevents/8491,麦兜旅行网,旅游,上海,A轮,数百万美元,汉景家族办公室
13,2015.1.31,https://www.itjuzi.com/investevents/8828,私人美疗师,本地生活,北京,天使轮,数百万人民币,洋葱基金
14,2015.1.31,https://www.itjuzi.com/investevents/8832,答疑君,教育,浙江,Pre-A轮,数千万人民币,华旦天使投资
15,2015.1.31,https://www.itjuzi.com/investevents/8843,看娃娃,教育,北京,天使轮,数百万人民币,投资方未透露
16,2015.1.31,https://www.itjuzi.com/investevents/8972,Joyplus秀视智能,广告营销,上海,A轮,数千万人民币,投资方未透露
17,2015.1.31,https://www.itjuzi.com/investevents/9212,财神道家庭贷,金融,广东,天使轮,数百万人民币,京北投资-京北天使
18,2015.1.31,https://www.itjuzi.com/investevents/9372,小世界-嘉洁网络,电子商务,浙江,天使轮,600万人民币,天使湾
19,2015.1.31,https://www.itjuzi.com/investevents/13638,云米科技,硬件,广东,A轮,数千万人民币,"红杉资本中国,顺为基金,GIC新加坡政府投资公司,晨兴资本"
20,2015.1.31,https://www.itjuzi.com/investevents/14410,易鑫资本(易鑫金融),汽车交通,北京,A轮,4亿美元,"易车网,腾讯,京东"
21,2015.1.31,https://www.itjuzi.com/investevents/15175,家政圈,本地生活,北京,天使轮,100万人民币,投资方未透露
22,2015.1.31,https://www.itjuzi.com/investevents/16282,白日梦旅行,旅游,北京,天使轮,900万人民币,投资方未透露
23,2015.1.30,https://www.itjuzi.com/investevents/13100,行易道,汽车交通,北京,天使轮,1000万人民币,磐谷创投
24,2015.1.30,https://www.itjuzi.com/investevents/13563,直达贷,金融,上海,天使轮,数百万人民币,积木盒子
25,2015.1.30,https://www.itjuzi.com/investevents/14271,益生俱乐部Essential,本地生活,北京,天使轮,数百万人民币,娱乐工场
26,2015.1.30,https://www.itjuzi.com/investevents/14661,嘉会国际医院,医疗健康,上海,A轮,亿元及以上人民币,挚信资本
27,2015.1.30,https://www.itjuzi.com/investevents/14682,Kingo Android Root,工具软件,北京,A轮,数千万人民币,APUS
28,2015.1.30,https://www.itjuzi.com/investevents/15118,巴图鲁汽配铺,汽车交通,广东,A轮,数千万人民币,启赋资本
29,2015.1.30,https://www.itjuzi.com/investevents/19181,速宝网络,企业服务,四川,天使轮,未透露,达晨创投
30,2015.1.30,https://www.itjuzi.com/investevents/4514,美尔贝/美呗,本地生活,重庆,A轮,2000万人民币,"同创伟业,JJ比赛(竞技创投)"
31,2015.1.30,https://www.itjuzi.com/investevents/7027,video++,企业服务,上海,天使轮,未透露,投资方未透露
32,2015.1.30,https://www.itjuzi.com/investevents/7117,UTHING游心旅行,旅游,浙江,A轮,数千万美元,韩投伙伴
33,2015.1.30,https://www.itjuzi.com/investevents/7162,云集轻应用,工具软件,浙江,天使轮,数百万人民币,投资方未透露
34,2015.1.30,https://www.itjuzi.com/investevents/7163,云中飞智能止鼾仪,硬件,广东,种子轮,数百万人民币,创新谷Innovalley
35,2015.1.30,https://www.itjuzi.com/investevents/7166,PP Gun思萌科技,游戏,广东,天使轮,500万人民币,"天使汇,洪泰基金"
36,2015.1.30,https://www.itjuzi.com/investevents/7407,美天MeiToday,电子商务,上海,A轮,数百万美元,"联创策源,PreAngel"
37,2015.1.30,https://www.itjuzi.com/investevents/7499,CBD迷你仓,电子商务,北京,天使轮,数百万人民币,崭越资本
38,2015.1.30,https://www.itjuzi.com/investevents/7538,惠金天下,金融,上海,天使轮,数百万人民币,"翰潭投资,薛蛮子"
39,2015.1.30,https://www.itjuzi.com/investevents/7706,随遇直播,社交网络,广东,Pre-A轮,520万美元,"景林投资,北极光创投"
40,2015.1.30,https://www.itjuzi.com/investevents/7862,72变,硬件,北京,A轮,未透露,正和磁系资本
