date,link,company,field,place,round,amount,investor
2016-09-06,https://www.itjuzi.com/investevents/20114,新道科技,教育,海南,B轮,1.89亿人民币,"中泰创投,天星资本,太证资本"
2016-09-06,https://www.itjuzi.com/investevents/20103,深圳麦谷科技MapGoo,汽车交通,广东,Pre-A轮,5000万人民币,同创伟业
2016-09-06,https://www.itjuzi.com/investevents/20099,景域文化,旅游,上海,IPO上市后,10亿人民币,南京丰盛产业控股集团
2016-09-05,https://www.itjuzi.com/investevents/20097,我的天科技,文化娱乐,北京,Pre-A轮,1200万人民币,投资方未透露
2016-09-05,https://www.itjuzi.com/investevents/20093,多米音乐,文化娱乐,北京,新三板,未透露,投资方未透露
2016-09-05,https://www.itjuzi.com/investevents/20092,车易拍,汽车交通,北京,E轮,3亿人民币,北汽产业投资基金
2016-09-05,https://www.itjuzi.com/investevents/20091,牧视天成,文化娱乐,北京,天使轮,600万人民币,乐游资本
2016-09-05,https://www.itjuzi.com/investevents/20087,糖医生,医疗健康,北京,Pre-A轮,数千万人民币,"上海嘉稹,上海腾辉"
2016-09-05,https://www.itjuzi.com/investevents/20086,新浪阅读,文化娱乐,北京,不明确,3.5亿人民币,中文在线
2016-09-05,https://www.itjuzi.com/investevents/20077,学无国界myOffer,教育,广东,A轮,数千万人民币,"沪江教育-互桂基金,信天创投"
2016-09-05,https://www.itjuzi.com/investevents/20076,人人车,汽车交通,北京,D轮,1.5亿美元,"汉富资本,新浚资本,普思资本,腾讯,顺为基金,红点投资Redpoint Ventures"
2016-09-05,https://www.itjuzi.com/investevents/20074,新片场,文化娱乐,北京,IPO上市后,7000万人民币,"天星资本,红杉资本中国"
2016-09-05,https://www.itjuzi.com/investevents/20063,玩加赛事WanPlus,游戏,北京,Pre-A轮,1000万人民币,丰厚资本
2016-09-04,https://www.itjuzi.com/investevents/20072,六度中医,医疗健康,江苏,天使轮,数千万人民币,"树兰医疗,奇异果"
2016-09-04,https://www.itjuzi.com/investevents/20062,天天不上班,文化娱乐,北京,天使轮,数百万人民币,真格基金
2016-09-04,https://www.itjuzi.com/investevents/20060,中商惠民网,电子商务,北京,B轮,13亿人民币,"聚腾时尚产业基金,西部优势资本(西部证券),中合担保,达晨创投,人众资本,同系资本"
2016-09-04,https://www.itjuzi.com/investevents/20044,黄金树,金融,北京,A轮,数百万人民币,南京紫金科创
2016-09-03,https://www.itjuzi.com/investevents/20083,汇医在线,医疗健康,北京,A轮,2000万人民币,浙银资本
2016-09-03,https://www.itjuzi.com/investevents/20019,订房宝,旅游,北京,A+轮,1000万人民币,"东方富海,浙商创投"
2016-09-02,https://www.itjuzi.com/investevents/20024,17互助,金融,浙江,Pre-A轮,3000万人民币,"执一资本Yi Capital,经纬中国,晨兴资本"
2016-09-02,https://www.itjuzi.com/investevents/20017,Yum Brands百胜中国,本地生活,上海,战略投资,4.6亿美元,"春华资本Primavera,蚂蚁金服(阿里巴巴)"
2016-09-02,https://www.itjuzi.com/investevents/20016,卧龙大数据,企业服务,四川,Pre-A轮,1000万人民币,高捷资本
2016-09-02,https://www.itjuzi.com/investevents/20015,ofo共享单车,汽车交通,北京,B轮,数千万美元,"经纬中国,金沙江创投,唯猎资本"
2016-09-02,https://www.itjuzi.com/investevents/20009,上海电影艺术学院,教育,上海,战略投资,未透露,IDG光大产业并购基金
2016-09-02,https://www.itjuzi.com/investevents/20008,世萱堂生物医药,医疗健康,北京,天使轮,1.5亿人民币,盛日融旺
2016-09-02,https://www.itjuzi.com/investevents/20006,布拉旅行,旅游,上海,A+轮,数千万人民币,泓御资本
2016-09-02,https://www.itjuzi.com/investevents/20005,金斧子,金融,广东,C轮,亿元及以上人民币,"华西股份(华西村),招商局,达泰资本,墨白资本,汉景家族办公室"
2016-09-02,https://www.itjuzi.com/investevents/19996,融和友信,金融,北京,A+轮,3000万人民币,尖晶资本
2016-09-02,https://www.itjuzi.com/investevents/19995,WeShare易跋科技,工具软件,上海,A轮,1000万美元,软银中国
2016-09-02,https://www.itjuzi.com/investevents/19994,星云数据服务平台,企业服务,江苏,天使轮,数千万人民币,投资方未透露
2016-09-01,https://www.itjuzi.com/investevents/20033,众端网络,文化娱乐,上海,天使轮,数百万人民币,高樟资本
2016-09-01,https://www.itjuzi.com/investevents/20032,速道科技快CTO,企业服务,上海,天使轮,880万人民币,强合基金
2016-09-01,https://www.itjuzi.com/investevents/19978,鱼大大,电子商务,江苏,战略投资,未透露,投资方未透露
2016-09-01,https://www.itjuzi.com/investevents/19976,能力天空科技,教育,北京,C轮,1亿人民币,天津福熙投资
2016-09-01,https://www.itjuzi.com/investevents/19975,ZETTAKIT领航盛辉,企业服务,北京,A+轮,5000万人民币,达晨创投
2016-09-01,https://www.itjuzi.com/investevents/19974,捉影,社交网络,广东,天使轮,211万人民币,投资方未透露
2016-09-01,https://www.itjuzi.com/investevents/19973,GOGAL够格,文化娱乐,广东,天使轮,500万人民币,迅雷
2016-09-01,https://www.itjuzi.com/investevents/19972,奇光影业,文化娱乐,北京,A+轮,数千万人民币,和智资本
2016-09-01,https://www.itjuzi.com/investevents/19971,WeMedia自媒体联盟,文化娱乐,北京,A+轮,4000万人民币,PGA Ventures
2016-09-01,https://www.itjuzi.com/investevents/19966,PingPong金融,金融,浙江,A轮,数百万美元,斯道资本(富达亚洲)
2016-09-01,https://www.itjuzi.com/investevents/19961,UBOSS优融网络,电子商务,广东,Pre-A轮,700万人民币,投资方未透露
2016-09-01,https://www.itjuzi.com/investevents/19956,二手go,本地生活,浙江,种子轮,1000万人民币,竹子资本
2016-09-01,https://www.itjuzi.com/investevents/19955,好老板,工具软件,北京,天使轮,数百万人民币,投资方未透露
2016-09-01,https://www.itjuzi.com/investevents/19953,趣链科技,企业服务,浙江,不明确,1750万人民币,"浙大网新,信雅达系统工程股份有限公司,浙江君宝通信科技有限公司"
2016-09-01,https://www.itjuzi.com/investevents/19950,美术宝,教育,北京,B+轮,5200万人民币,"若沐资本,创致资本"
2016-08-31,https://www.itjuzi.com/investevents/20234,智间配,硬件,上海,Pre-A轮,1000万人民币,星原资本
2016-08-31,https://www.itjuzi.com/investevents/20219,陕西广电网络,文化娱乐,陕西,IPO上市后,7.55亿人民币,投资方未透露
2016-08-31,https://www.itjuzi.com/investevents/20018,远形时空,硬件,北京,天使轮,数百万人民币,PreAngel
2016-08-31,https://www.itjuzi.com/investevents/19943,影人街,文化娱乐,辽宁,天使轮,300万人民币,鸣新坊风投
2016-08-31,https://www.itjuzi.com/investevents/19942,ROAD FC路德格斗,体育运动,北京,A轮,1亿人民币,投资方未透露
2016-08-31,https://www.itjuzi.com/investevents/19941,轻餐饮/芯易科技,企业服务,北京,天使轮,数百万人民币,知初资本
2016-08-31,https://www.itjuzi.com/investevents/19940,约跑,体育运动,北京,天使轮,数千万人民币,全经联创新基金
2016-08-31,https://www.itjuzi.com/investevents/19938,倍优天地,教育,北京,Pre-A轮,数千万人民币,北京生活性服务业发展基金
2016-08-31,https://www.itjuzi.com/investevents/19937,奇竺运势日历/口袋神婆,文化娱乐,上海,A轮,数千万人民币,连云资本
2016-08-31,https://www.itjuzi.com/investevents/19936,布比区块链,金融,北京,Pre-A轮,3000万人民币,"启赋资本,招商局,创新工场,界石投资"
2016-08-31,https://www.itjuzi.com/investevents/19935,懂球帝,体育运动,北京,C轮,3.5亿人民币,"苏宁,天星资本,红杉资本中国"
2016-08-31,https://www.itjuzi.com/investevents/19932,三个和尚,本地生活,北京,天使轮,500万人民币,"泰有投资,水木清华校友基金"
2016-08-31,https://www.itjuzi.com/investevents/19923,易途8(易途吧),旅游,浙江,B轮,1.5亿人民币,"中赢投资,顺融资本"
2016-08-31,https://www.itjuzi.com/investevents/19918,8只小猪,旅游,广东,Pre-A轮,数千万人民币,投资方未透露
2016-08-30,https://www.itjuzi.com/investevents/20027,石更化贝,文化娱乐,北京,天使轮,100万人民币,互联网电影集团IFG
2016-08-30,https://www.itjuzi.com/investevents/19916,行周末,文化娱乐,浙江,天使轮,800万人民币,"头头是道投资基金,掌趣创享基金"
2016-08-30,https://www.itjuzi.com/investevents/19910,老虎快跑,物流,北京,天使轮,500万人民币,投资方未透露
2016-08-30,https://www.itjuzi.com/investevents/19903,猎上网HunterOn,企业服务,上海,C轮,2亿人民币,"大华创投管理,IDG资本,红杉资本中国"
2016-08-30,https://www.itjuzi.com/investevents/19901,上上签,企业服务,浙江,A+轮,数千万人民币,"顺为基金,经纬中国,DCM中国"
2016-08-29,https://www.itjuzi.com/investevents/20159,高登世德,企业服务,贵州,Pre-A轮,数千万人民币,京东
2016-08-29,https://www.itjuzi.com/investevents/20152,牛快计,企业服务,江苏,天使轮,数百万人民币,海丰至诚
2016-08-29,https://www.itjuzi.com/investevents/19885,建业科技,企业服务,上海,新三板,未透露,投资方未透露
2016-08-29,https://www.itjuzi.com/investevents/19883,易天天,电子商务,浙江,天使轮,600万人民币,苏河汇
2016-08-29,https://www.itjuzi.com/investevents/19880,商产网,房产服务,江苏,Pre-A轮,数百万美元,中江资本
2016-08-29,https://www.itjuzi.com/investevents/19879,小船互动,硬件,上海,Pre-A轮,数千万人民币,暴风科技
2016-08-29,https://www.itjuzi.com/investevents/19876,浙金网,金融,浙江,A轮,3000万人民币,银江股份(银江资本)
2016-08-29,https://www.itjuzi.com/investevents/19872,版映科技,文化娱乐,北京,天使轮,数千万人民币,投资方未透露
2016-08-29,https://www.itjuzi.com/investevents/19871,快早餐,本地生活,陕西,天使轮,1000万人民币,软银中国
2016-08-29,https://www.itjuzi.com/investevents/19870,真机智能,硬件,北京,天使轮,数百万人民币,中科创星
2016-08-29,https://www.itjuzi.com/investevents/19868,百合网,社交网络,北京,IPO上市后,8.82亿人民币,宝新能源
2016-08-29,https://www.itjuzi.com/investevents/19866,全域医疗,医疗健康,北京,A+轮,1.8亿人民币,"联基金,正和磁系资本"
2016-08-28,https://www.itjuzi.com/investevents/20197,棉联网,电子商务,上海,Pre-A轮,未透露,金轮股份
2016-08-28,https://www.itjuzi.com/investevents/19860,沃时贷,金融,江苏,B轮,4000万人民币,神州泰岳(泰岳梧桐)
2016-08-28,https://www.itjuzi.com/investevents/19858,海外U,电子商务,湖北,天使轮,数百万人民币,洪泰创新空间
2016-08-27,https://www.itjuzi.com/investevents/19849,维宁体育,体育运动,北京,Pre-A轮,数千万人民币,"RIC棕泉资本,达晨创投,体奥动力"
2016-08-26,https://www.itjuzi.com/investevents/19843,游小二,旅游,福建,天使轮,200万人民币,投资方未透露
2016-08-26,https://www.itjuzi.com/investevents/19842,拿货商城,电子商务,广东,天使轮,1000万人民币,慧聪网
2016-08-26,https://www.itjuzi.com/investevents/19833,LAMODA高端时尚女鞋定制DIY,电子商务,广东,天使轮,2000万人民币,鑫威财富
2016-08-26,https://www.itjuzi.com/investevents/19832,陆金申华,汽车交通,上海,战略投资,3000万人民币,瑞璟创投
2016-08-26,https://www.itjuzi.com/investevents/19831,EduSoho阔知网络,教育,浙江,A轮,数千万人民币,华睿投资
2016-08-26,https://www.itjuzi.com/investevents/19829,好享家,硬件,江苏,B轮,1.2亿人民币,"方正和生投资,富坤投资"
2016-08-26,https://www.itjuzi.com/investevents/19827,数牛金服,金融,浙江,战略投资,3000万人民币,投资方未透露
2016-08-26,https://www.itjuzi.com/investevents/19821,新兴药房,电子商务,河北,战略投资,未透露,Morgan Stanley摩根士丹利
2016-08-26,https://www.itjuzi.com/investevents/19816,虎聘网,企业服务,江苏,天使轮,300万人民币,"宁夏安德投资有限公司,伊冠投资控股有限公司"
2016-08-26,https://www.itjuzi.com/investevents/19813,熊猫儿童大学,教育,北京,天使轮,600万人民币,"镭厉资本,北京按钮传媒"
2016-08-26,https://www.itjuzi.com/investevents/19807,好哥哥线上赛,游戏,北京,种子轮,300万人民币,投资方未透露
2016-08-26,https://www.itjuzi.com/investevents/19792,吉因加,医疗健康,北京,A轮,2亿人民币,"华大基因,火山石资本,松禾资本"
2016-08-26,https://www.itjuzi.com/investevents/19788,调调科技MYQUBIC,硬件,北京,Pre-A轮,5000万人民币,"梅花天使创投,青山资本"
2016-08-26,https://www.itjuzi.com/investevents/19786,e保养,汽车交通,北京,C轮,1.5亿人民币,源码资本
2016-08-25,https://www.itjuzi.com/investevents/20104,DFRobot智位机器人,硬件,上海,新三板,未透露,投资方未透露
2016-08-25,https://www.itjuzi.com/investevents/19767,黄金钱包G-banker,金融,北京,C轮,未透露,软银中国
2016-08-25,https://www.itjuzi.com/investevents/19761,欢乐口腔,医疗健康,北京,A轮,3.5亿人民币,"华泰紫金-华泰证券,中卫基金,世纪鼎利"
2016-08-25,https://www.itjuzi.com/investevents/19747,护眼宝,医疗健康,广东,天使轮,150万人民币,创新谷Innovalley
2016-08-25,https://www.itjuzi.com/investevents/19746,群星金融,金融,上海,B+轮,1.5亿人民币,"曦域资本,前海母基金"
2016-08-25,https://www.itjuzi.com/investevents/19741,开客,企业服务,上海,种子轮,100万人民币,投资方未透露
2016-08-25,https://www.itjuzi.com/investevents/19737,AcFun弹幕视频网(A站),文化娱乐,广东,战略投资,5000万人民币,华策影视
2016-08-25,https://www.itjuzi.com/investevents/19735,Health2Sync,医疗健康,台湾,A轮,300万美元,"Cherubic Ventures心元资本,SparkLabs Global Ventures"
2016-08-25,https://www.itjuzi.com/investevents/19733,趣医院-趣医网络,医疗健康,上海,B+轮,2.16亿人民币,"软银中国,弘晖资本,百度"
2016-08-25,https://www.itjuzi.com/investevents/19732,上海京颐科技KingYee,医疗健康,上海,C轮,9700万人民币,"软银中国,鼎晖投资,盛世景投资"
2016-08-25,https://www.itjuzi.com/investevents/19731,魔方金服,房产服务,上海,A轮,9500万人民币,"戈壁投资,凯泰资本"
2016-08-25,https://www.itjuzi.com/investevents/19730,蓝海智投(蓝海财富),金融,北京,Pre-A轮,1500万人民币,老鹰基金EaglesFund
2016-08-24,https://www.itjuzi.com/investevents/20185,利楚商务,金融,湖北,Pre-A轮,数千万人民币,富友金融
2016-08-24,https://www.itjuzi.com/investevents/19894,抠电影(指点无限),文化娱乐,北京,C轮,未透露,投资方未透露
2016-08-24,https://www.itjuzi.com/investevents/19726,中文在线,文化娱乐,北京,IPO上市后,20亿人民币,投资方未透露
2016-08-24,https://www.itjuzi.com/investevents/19725,微在WeZeit,文化娱乐,北京,Pre-A轮,1000万人民币,投资方未透露
2016-08-24,https://www.itjuzi.com/investevents/19715,加速云,企业服务,浙江,天使轮,数千万人民币,如山投资
2016-08-24,https://www.itjuzi.com/investevents/19713,极豆车联网,汽车交通,上海,A轮,5300万人民币,"青云创投,知卓资本"
2016-08-24,https://www.itjuzi.com/investevents/19712,欧睿宇邦,房产服务,上海,A轮,6000万人民币,磁斯达克
2016-08-24,https://www.itjuzi.com/investevents/19711,康拓医疗,医疗健康,陕西,A轮,数千万人民币,弘晖资本
